"","x"
"824","ANO3"
"825","TIE1"
"826","PCSK5"
"827","DLGAP5"
"828","VIM"
"829","EGFL7"
"830","LINC00924"
"831","ARHGAP11A"
"832","MGLL"
"833","PRKN"
"834","PELI1"
"835","HSD17B6"
"836","HSPA12B"
"837","E2F8"
"838","NMB"
"839","WDR34"
"840","FBLN5"
"841","NVL"
"842","LRRC77P"
"843","CSF3"
"844","TOP2A"
"845","HOXA2"
"846","MYLK"
"847","INHBA"
"848","ABCD2"
"849","TACC1"
"850","VSIR"
"851","MESTIT1"
"852","ADAMTSL4-AS1"
"853","TESC"
"854","LONRF3"
"855","PLK1"
"856","EFEMP1"
"857","C11orf96"
"858","CRTAP"
"859","CCBE1"
"860","SLC12A4"
"861","LINC00989"
"862","RASL12"
"863","GOLGA8IP"
"864","ZBTB16"
"865","NPY5R"
"866","GYG2"
"867","GPLD1"
"868","ARHGAP31"
"869","KANK2"
"870","NR2F2-AS1"
"871","MGAT3"
"872","HAGHL"
"873","AUXG01000058.1"
"874","TYRO3"
"875","CCDC36"
"876","AGAP11"
"877","UTRN"
"878","SETD7"
"879","C11orf91"
"880","ESAM"
"881","CYP2U1"
"882","ITPRIPL1"
"883","RERGL"
"884","DNAH9"
"885","SYNPO2"
"886","MXRA7"
"887","AURKA"
"888","RCC1"
"889","SNX18P12"
"890","BLM"
"891","LIPE-AS1"
"892","TMEM37"
"893","P3H2"
"894","RAD54B"
"895","AL356273.3"
"896","GIMAP8"
"897","F3"
"898","SOCS3"
"899","TACR1"
"900","KIF26A"
"901","AC073130.2"
"902","LILRB5"
"903","AC093010.3"
"904","NACC1"
"905","PCLAF"
"906","HOXA4"
"907","SMIM10L2B"
"908","PHKG2"
"909","PTGS2"
"910","RND3"
"911","PSG8-AS1"
"912","CRY2"
"913","CYB5R3"
"914","AC002546.1"
"915","ZEB2"
"916","CYP11A1"
"917","SMAD9"
"918","AL162171.1"
"919","APOD"
"920","GRASP"
"921","CCN4"
"922","GFOD1"
"923","TIMELESS"
"924","MBOAT7"
"925","FANCD2"
"926","MYOCD"
"927","CFLAR"
"928","PECAM1"
"929","AHNAK"
"930","ISG20L2"
"931","KIF15"
"932","LCN10"
"933","KIF2C"
"934","TPD52"
"935","VWFP1"
"936","TK1"
"937","PITX1"
"938","CD59"
"939","MYMX"
"940","RGS5"
"941","AP001627.1"
"942","ZNF423"
"943","CENPA"
"944","CHL1-AS2"
"945","SOCS2"
"946","CTXN1"
"947","COX4I2"
"948","WDFY3-AS2"
"949","AC092376.2"
"950","SLC16A7"
"951","CKAP2"
"952","TARS2"
"953","FAM180B"
"954","ZFP69B"
"955","PKNOX2"
"956","NUAK2"
"957","FRMD3"
"958","NEIL3"
"959","CDC45"
"960","ARHGEF7-AS2"
"961","MAML2"
"962","RASSF9"
"963","PTPRG"
"964","ARRDC4"
"965","NPR2"
"966","PRDM5"
"967","HIST1H2AG"
"968","BOC"
"969","KNSTRN"
"970","AC091057.1"
"971","FAM86C1"
"972","ATXN1L"
"973","KLHL30"
"974","ATP6AP1"
"975","CFH"
"976","RASD1"
"977","MFAP4"
"978","LRRC3B"
"979","KIF14"
"980","GALR1"
"981","HASPIN"
"982","PDE1A"
"983","BUB3"
"984","DACT2"
"985","FAM83H"
"986","RNF180"
"987","CHTOP"
"988","ANGPTL7"
"989","PPEF1"
"990","RAD51"
"991","ALDOC"
"992","AC005089.1"
"993","SIRPA"
"994","SENCR"
"995","IL11RA"
"996","NCAM1"
"997","H2AFX"
"998","CDCA5"
"999","TSSC2"
"1000","ARHGAP24"
"1001","FES"
"1002","KCNJ2-AS1"
"1003","CPA1"
"1004","AL590999.1"
"1005","CEP112"
"1006","ASXL3"
"1007","MCM2"
"1008","FXYD2"
"1009","NDC80"
"1010","KDR"
"1011","PTPRM"
"1012","NMT2"
"1013","MECOM"
"1014","SPX"
"1015","FGF10-AS1"
"1016","SNTG2"
"1017","AC079193.2"
"1018","CPNE2"
"1019","DEPDC1B"
"1020","ADH5"
"1021","PHLDB1"
"1022","PINK1"
"1023","ACADS"
"1024","SLC25A27"
"1025","POLE2"
"1026","NAP1L5"
"1027","CD93"
"1028","SNRK"
"1029","A2M"
"1030","AC087632.1"
"1031","CD248"
"1032","SLC14A2"
"1033","CDK1"
"1034","GRK3"
"1035","MYBL2"
"1036","FGF10"
"1037","ARHGAP26"
"1038","NGFR"
"1039","SBDS"
"1040","MRC1"
"1041","DBX2"
"1042","ATAD2"
"1043","DCT"
"1044","MEIS2"
"1045","STEAP4"
"1046","EFNB1"
"1047","KLF14"
"1048","PLK4"
"1049","GIMAP6"
"1050","EGR1"
"1051","RCAN1"
"1052","CC2D2A"
"1053","SLCO4A1"
"1054","MYH11"
"1055","FAM124A"
"1056","PTGFR"
"1057","ATP13A1"
"1058","TMC2"
"1059","CYGB"
"1060","LLGL2"
"1061","TRIM59"
"1062","SQLE"
"1063","SKA1"
"1064","HM13"
"1065","DGAT2"
"1066","ATIC"
"1067","B4GALT1-AS1"
"1068","ICAM2"
"1069","ZBTB4"
"1070","HIST1H2AE"
"1071","SALL4"
"1072","TMBIM1"
"1073","RNF125"
"1074","CRHR2"
"1075","SGK2"
"1076","ENDOU"
"1077","CNR1"
"1078","SNCA"
"1079","C2CD6"
"1080","P2RX6"
"1081","RPL7L1P9"
"1082","ZNF296"
"1083","ARHGEF39"
"1084","GRIN2B"
"1085","PIMREG"
"1086","PPIAP10"
"1087","AC016831.7"
"1088","LIX1L"
"1089","GOLGA8M"
"1090","AC036108.2"
"1091","FLAD1"
"1092","KHDC4"
"1093","C19orf12"
"1094","APCDD1"
"1095","CYCSP23"
"1096","PKD1L2"
"1097","TACC3"
"1098","E2F5"
"1099","SLC35G2"
"1100","LAMA4"
"1101","EIF2AK1"
"1102","VGLL3"
"1103","SKA3"
"1104","ARHGEF40"
"1105","PIP4K2C"
"1106","LEF1-AS1"
"1107","ZNF219"
"1108","CDT1"
"1109","SPC24"
"1110","CPM"
"1111","PIK3R1"
"1112","MAL2"
"1113","SGCG"
"1114","E2F7"
"1115","GFRA2"
"1116","TET3"
"1117","C21orf58"
"1118","ITPKC"
"1119","LATS2"
"1120","NPR3"
"1121","AC105046.1"
"1122","WDHD1"
"1123","KIRREL1"
"1124","DIAPH3"
"1125","LSR"
"1126","AC002366.1"
"1127","ESRP1"
"1128","BIRC5"
"1129","GSN-AS1"
"1130","TLL1"
"1131","WNT2B"
"1132","SDS"
"1133","PCDH19"
"1134","SFRP1"
"1135","HIST1H2BJ"
"1136","ADAMTS14"
"1137","OR7E2P"
"1138","DIXDC1"
"1139","AC139768.1"
"1140","NTRK3"
"1141","SLC24A2"
"1142","TMEM88"
